Source,Target,type_of_content
swagafiedkicks,ShopDillaDotCom,Retweet
FastSoleUK,FastSoleUK,Tweet
Ron_Hamp,FAMU_MBB,Retweet
Ron_Hamp,KingJames,Retweet
FastSoleUK,FastSoleUK,Tweet
sekiyad,BGirlVentures,Retweet
FastSoleUK,FastSoleUK,Tweet
JannaDemm,BGirlVentures,Retweet
rey_lin159357,BoyBroadsword,Retweet
Maribel61693234,DIA_CRUNCH,Retweet
__ThrowItUp,FAMU_MBB,Retweet
__ThrowItUp,KingJames,Retweet
paezjmv,rojano_mx,Retweet
MorgieTiff,MorgieTiff,Tweet
FastSoleUK,FastSoleUK,Tweet
MrIStayFocused,FAMU_MBB,Retweet
MrIStayFocused,KingJames,Retweet
SneakerCon,SneakerCon,Tweet
CityIndex,FionaCityIndex,Retweet
ShopDillaDotCom,ShopDillaDotCom,Tweet
Dbandman2,FAMU_MBB,Retweet
Dbandman2,KingJames,Retweet
Leomejiacrz,Leomejiacrz,Tweet
thejaygrove,FAMU_MBB,Retweet
thejaygrove,KingJames,Retweet
FastSoleUK,FastSoleUK,Tweet
vapormaxmaster1,BoyBroadsword,Retweet
Skatebiker89,BGirlVentures,Retweet
FastSoleUK,FastSoleUK,Tweet
1stladyKenyetta,1stladyKenyetta,Tweet
ShakariSBriggs,ShakariSBriggs,Tweet
ThompsoneBay,eBay,Mention
CoachPope1,FAMU_MBB,Retweet
CoachPope1,KingJames,Retweet
ThompsoneBay,eBay,Mention
decatur_g,FAMU_MBB,Retweet
decatur_g,KingJames,Retweet
jamaalaldin_tv,jamaalaldin_tv,Tweet
HnricMurrayThe2,FAMU_MBB,Retweet
HnricMurrayThe2,KingJames,Retweet
mjfadeawayyy,FAMU_MBB,Retweet
mjfadeawayyy,KingJames,Retweet
DeadLaced,DeadLaced,Tweet
FAMU_MBB,KingJames,Mention
lordxdee,JoLeahaLarkeXO,Retweet
lordxdee,withFND,Retweet
VUhoops,VUhoops,Tweet
Mens_Clothing_,Mens_Clothing_,Tweet
DrgWears,DrgWears,Tweet
DiorCj,BGirlVentures,Retweet
brigid1229,Nike,Reply
GroveAmes,isubookstore,Retweet
Jlockedtheridge,BGirlVentures,Retweet
EliteResaleShop,eBay,Mention
sameeranjum234,DigiSliceX,Retweet
sameeranjum234,SweetStreetWear,Retweet
Go0d_FeLLa,BGirlVentures,Retweet
gonzo_30531,BethPaintings,Retweet
luke32828635,endclothing,Retweet
AStylishWrkEthc,AStylishWrkEthc,Tweet
cleanclothes,cleanclothes,Tweet
ruleofnext,ruleofnext,Tweet
tecumsehmall,tecumsehmall,Tweet
MRizkyR7,MRizkyR7,Tweet
isubookstore,isubookstore,Tweet
footlockercad,footlockercad,Tweet
VentingOne,BGirlVentures,Retweet
LeiHele,ojmikko,Retweet
theonlypmac,theonlypmac,Tweet
ooooozzzl,BGirlVentures,Retweet
knicksfan89,UltimediaBox,Retweet
AndrewHanson35,cleanclothes,Retweet
AndrewHanson35,Nike,Retweet
A1Fool_,da_rookie20,Mention
FreeminsW,eBay,Mention
PisethDuch,priyankamogul,Retweet
lbasham23,lbasham23,Tweet
bunniisung,BGirlVentures,Retweet
hurroharra,endclothing,Retweet
Stevenn90862404,FOREXcom,Retweet
randomblackman,BGirlVentures,Retweet
LiviaFields5,BGirlVentures,Retweet
Sythefrenchfry,BGirlVentures,Retweet
swagafiedkicks,Mens_Clothing_,Retweet
Blacklacessport,Blacklacessport,Tweet
Farzaneh_N1991,Farzaneh_N1991,Tweet
UltimediaBox,UltimediaBox,Tweet
ojmikko,ojmikko,Tweet
ahmad47abdullah,DigiSliceX,Retweet
ahmad47abdullah,SweetStreetWear,Retweet
dougpfresh,dougpfresh,Tweet
HuangTao824,AFEWSTORE,Retweet
ShakariSBriggs,theeebambi,Reply
priyankamogul,priyankamogul,Tweet
marciana_rara,BGirlVentures,Retweet
DaisysJeans,eBay,Mention
deebest500,cassiesclassics,Retweet
deebest500,Poshmarkapp,Retweet
MarisaAmato2,Poshmarkapp,Mention
LW75092969,Poshmarkapp,Mention
LW75092969,lovegracehill,Mention
cassiesclassics,Poshmarkapp,Mention
rcoleposher27,Poshmarkapp,Mention
